"2023-01-25 03:10:19am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '108', '1', '{""1"":""2"",""2"":""95""}') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtocart "," R: http://localhost/EthnicWear/product-detail/women-rust-orange-embroidered-a-line-longline-top-m-orange-red-vnky8c75-108?pid=108"
"2023-01-25 03:10:29am "," update "," UPDATE product_details SET `view_count` = 66 WHERE 1=1  and product_id = '142' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142?pid=142 "," R: http://localhost/EthnicWear/shop"
"2023-01-25 03:10:29am "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '142') "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142?pid=142 "," R: http://localhost/EthnicWear/shop"
"2023-01-25 03:10:33am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '142', '1', '{""2"":""89"",""6"":""55""}') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtocart "," R: http://localhost/EthnicWear/product-detail/women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142?pid=142"
"2023-01-25 03:10:49am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '118' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/removeFromCart "," R: http://localhost/EthnicWear/cart"
"2023-01-25 03:14:59am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '103' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/removeFromCart "," R: http://localhost/EthnicWear/cart"
"2023-01-25 03:15:07am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '108' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/removeFromCart "," R: http://localhost/EthnicWear/cart"
"2023-01-25 03:15:43am "," update "," UPDATE product_details SET `view_count` = 98 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla?pid=115 "," R: http://localhost/EthnicWear/shop"
"2023-01-25 03:15:43am "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '115') "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla?pid=115 "," R: http://localhost/EthnicWear/shop"
"2023-01-25 03:15:46am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '115', '1', '{""1"":""1"",""2"":""10""}') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtocart "," R: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla?pid=115"
"2023-01-25 03:15:49am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '142' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/removeFromCart "," R: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla?pid=115"
"2023-01-25 03:16:06am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '115' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/removeFromCart "," R: http://localhost/EthnicWear/cart"
"2023-01-25 03:18:19am "," update "," UPDATE product_details SET `view_count` = 317 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118?pid=118 "," R: http://localhost/EthnicWear/shop"
"2023-01-25 03:18:24am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '118', '1', '{""1"":""2"",""2"":""86""}') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtocart "," R: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118?pid=118"
"2023-01-25 03:18:34am "," update "," UPDATE product_details SET `view_count` = 59 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139?pid=139 "," R: http://localhost/EthnicWear/shop"
"2023-01-25 03:18:39am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '139', '1', '{""1"":""2"",""2"":""85""}') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtocart "," R: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139?pid=139"
"2023-01-25 03:18:47am "," update "," UPDATE product_details SET `view_count` = 23 WHERE 1=1  and product_id = '103' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-yellow-embellished-high-low-longline-top-s-yellow-vnky8c75-103?pid=103 "," R: http://localhost/EthnicWear/shop"
"2023-01-25 03:18:53am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '103', '1', '{""1"":""1"",""2"":""7""}') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtocart "," R: http://localhost/EthnicWear/product-detail/women-yellow-embellished-high-low-longline-top-s-yellow-vnky8c75-103?pid=103"
"2023-01-25 03:20:36am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '118' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/removeFromCart "," R: http://localhost/EthnicWear/cart"
"2023-01-25 03:22:12am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '139' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/removeFromCart "," R: http://localhost/EthnicWear/cart"
"2023-01-25 03:23:22am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '103' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/removeFromCart "," R: http://localhost/EthnicWear/cart"
"2023-01-25 03:25:33am "," update "," UPDATE product_details SET `view_count` = 318 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118?pid=118 "," R: http://localhost/EthnicWear/shop"
