"2023-01-31 00:22:47am "," update "," UPDATE product_details SET `view_count` = 332 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-01-31 00:23:23am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '118', '1', '{""1"":""2"",""2"":""86""}') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtocart "," R: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118"
"2023-01-31 00:30:54am "," update "," UPDATE product_details SET `view_count` = 62 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/shop"
"2023-01-31 00:43:34am "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '132' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/maroon-gold-ethnic-motifs-zari-silk-blend-banarasi-saree-red-vnky8c75-132 "," R: http://localhost/EthnicWear/shop"
"2023-01-31 00:43:34am "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '132') "," ::1 "," URL: http://localhost/EthnicWear/product-detail/maroon-gold-ethnic-motifs-zari-silk-blend-banarasi-saree-red-vnky8c75-132 "," R: http://localhost/EthnicWear/shop"
