"2023-01-31 04:16:15am "," delete "," DELETE FROM whish_list WHERE 1=1  and product_id = '108' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/removeFromWishList "," R: http://localhost/EthnicWear/whishlist"
"2023-01-31 04:36:20am "," update "," UPDATE product_details SET `view_count` = 1 WHERE 1=1  and product_id = '146' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/yellow-ready-to-wear-lehenga-blouse-with-dupatta-m-yellow-vnky8c75-146 "," R: http://localhost/EthnicWear/shop"
"2023-01-31 04:36:20am "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '146') "," ::1 "," URL: http://localhost/EthnicWear/product-detail/yellow-ready-to-wear-lehenga-blouse-with-dupatta-m-yellow-vnky8c75-146 "," R: http://localhost/EthnicWear/shop"
