"2023-02-01 03:31:18am "," update "," UPDATE product_details SET `view_count` = 504 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-02-01 03:47:14am "," update "," UPDATE product_details SET `view_count` = 505 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-02-01 03:48:13am "," update "," UPDATE product_details SET `view_count` = 506 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-02-01 03:59:34am "," update "," UPDATE product_details SET `view_count` = 507 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
